Bit,Value,Hex,Meaning
0,1,0001,OnFoot
1,2,0002,InTaxi (or dropship/shuttle)
2,4,0004,InMulticrew (ie in someone else's ship)
3,8,0008,OnFootInStation
4,16,0010,OnFootOnPlanet
5,32,0020,AimDownSight
6,64,0040,LowOxygen
7,128,0080,LowHealth
8,256,0100,Cold
9,512,0200,Hot
10,1024,0400,VeryCold
11,2048,0800,VeryHot
12,4096,1000,Glide Mode
13,8192,2000,OnFootInHangar
14,16384,4000,OnFootSocialSpace
15,32768,8000,OnFootExterior
16,65536,0001 0000,BreathableAtmosphere
17,131072,0002 0000,Telepresence Multicrew
18,262144,0004 0000,Physical Multicrew
19,524288,0008 0000,Fsd hyperdrive charging
